nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
AlexHill5/employee-manager,https://github.com/AlexHill5/employee-manager,2017-06-14T04:39:23+09,2017-06-14T08:45:34+09,1,379,61,0,0,0,0
chrnzhng/employee-manager,https://github.com/chrnzhng/employee-manager,2017-06-14T04:44:11+09,2017-06-14T07:32:55+09,1,356,28,0,0,0,0
brandons9062/employee-manager,https://github.com/brandons9062/employee-manager,2017-06-14T04:45:22+09,2017-06-14T07:40:33+09,1,432,6,0,0,0,0
black-penguin/employee-manager,https://github.com/black-penguin/employee-manager,2017-06-14T04:50:46+09,2017-06-14T05:58:35+09,1,119,51,0,0,0,0
ikhem/employee-manager,https://github.com/ikhem/employee-manager,2017-07-05T10:17:34+09,2017-07-06T07:50:10+09,2,5920,2,0,0,1,0
missyjeanbeutler/employee-manager,https://github.com/missyjeanbeutler/employee-manager,2017-07-06T04:06:18+09,2017-07-06T07:59:20+09,1,6071,20,0,0,1,0
jodilark/employee-manager,https://github.com/jodilark/employee-manager,2017-07-06T04:57:08+09,2017-07-06T07:42:43+09,1,137,48,0,0,0,0
daveguymon/employee-manager,https://github.com/daveguymon/employee-manager,2017-07-06T05:10:06+09,2017-07-06T12:49:23+09,9,482,36,0,0,0,0
kellaisene/employee-manager,https://github.com/kellaisene/employee-manager,2017-07-06T06:12:06+09,2017-07-06T08:24:34+09,1,374,73,0,0,0,0
Yzhou2/employee-manager,https://github.com/Yzhou2/employee-manager,2017-07-06T06:18:05+09,2017-07-06T11:01:30+09,1,391,127,0,0,0,0
ttluan411-zz/employee-manager,https://github.com/ttluan411-zz/employee-manager,2017-07-06T06:28:49+09,2017-07-06T07:44:42+09,2,5960,4,0,0,1,0
jaydray1/employee-manager,https://github.com/jaydray1/employee-manager,2017-07-07T05:10:22+09,2017-12-27T06:24:18+09,4,41,4,11,0,0,0
DevMountain-QA/early-enter-wanted,https://github.com/DevMountain-QA/early-enter-wanted,2017-07-19T06:08:34+09,2017-10-03T23:43:36+09,2,145,1224,0,0,3,45
janises/employee-manager,https://github.com/janises/employee-manager,2017-08-01T14:08:34+09,2017-08-02T07:11:56+09,2,8251,31,0,0,4,0
mahburg/employee-manager,https://github.com/mahburg/employee-manager,2017-08-02T03:08:16+09,2017-08-02T04:29:49+09,1,7835,10,0,0,4,0
yabbbs/employee-manager,https://github.com/yabbbs/employee-manager,2017-08-02T04:00:37+09,2017-08-02T06:26:59+09,1,88,18,0,0,0,0
Aortizv7/employee-manager,https://github.com/Aortizv7/employee-manager,2017-08-02T04:35:14+09,2017-11-08T10:25:08+09,1,168,75,0,0,0,0
emkeator/employee-manager,https://github.com/emkeator/employee-manager,2017-08-02T04:52:01+09,2017-08-02T06:48:13+09,1,512,74,0,0,0,0
seanqureshi/employee-manager,https://github.com/seanqureshi/employee-manager,2017-08-02T05:21:16+09,2017-10-03T23:34:18+09,9,8943,31,0,0,1,0
jboucher8/employee-manager,https://github.com/jboucher8/employee-manager,2017-08-04T10:23:22+09,2017-08-04T11:51:57+09,1,8787,5,0,0,1,0
jhuppe/employee-manager,https://github.com/jhuppe/employee-manager,2017-08-04T10:27:37+09,2017-08-04T11:58:44+09,1,6018,26,0,0,1,0
ryand825/employee-manager,https://github.com/ryand825/employee-manager,2017-08-09T09:26:05+09,2017-08-09T11:45:25+09,1,142,47,0,0,0,0
Caccavella/employee-manager,https://github.com/Caccavella/employee-manager,2017-08-15T03:00:11+09,2017-08-15T07:05:02+09,2,469,95,0,0,3,0
kswensen/employee-manager,https://github.com/kswensen/employee-manager,2017-08-15T03:16:47+09,2017-08-15T07:29:08+09,1,557,103,0,0,3,0
ShawnKoga/employee-manager,https://github.com/ShawnKoga/employee-manager,2017-08-15T04:01:59+09,2017-08-15T09:18:42+09,1,463,136,0,0,0,0
BlakeMAdams/employee-manager,https://github.com/BlakeMAdams/employee-manager,2017-08-15T04:27:12+09,2017-08-15T08:05:30+09,3,260,13,0,0,0,0
Sam-Montoya/employee-manager,https://github.com/Sam-Montoya/employee-manager,2017-08-15T04:32:52+09,2017-08-15T07:45:15+09,10,9219,55,0,0,4,0
